d,M,ε,fn,gt,mean,std,bias,bias2,variance,mse,ess,mcse
30,1024,0.05,x0y1,0.41587478331369054,0.34317630774442,0.001470854926962517,-0.07269847556927056,0.005285068350095829,2.1634142161699112e-6,0.005287231764311998,19.765156317067383,0.0003308412956095206
30,1024,0.05,x1y0,0.4158747833136906,0.3605209095863805,0.0019092227801849188,-0.0553538737273101,0.0030640513366189913,3.645131624377031e-6,0.0030676964682433685,11.100796830759252,0.0005730328647807262
30,1024,0.05,x1y1,0.6698214375125249,0.3981821363002169,0.002310079398908194,-0.27163930121230795,0.07378790996311096,5.336466829260043e-6,0.07379324642994023,8.358679530476007,0.0007990207719689396
30,1024,0.05,EZ,19.11224169574451,11.922297943285255,0.00824694426977864,-7.1899437524592535,51.695291163527855,6.801208978883475e-5,51.69535917561765,7.456161531985958,0.003020197930891934
30,1024,0.05,EZ2,425.79997659416125,176.88737718764278,0.17323951141829497,-248.91259940651847,61957.482143309935,0.030011928316449554,61957.51215523825,7.986160034958355,0.06130246609965921
30,1024,0.05,EZ3,11071.462087832115,3183.639465006558,3.509014640715059,-7887.822622825557,6.2217745729158655e7,12.313183748752634,6.22177580423424e7,9.199771291104804,1.1569022476628172
30,1024,0.1,x0y0,0.7353974233983906,0.45326035834694467,0.001838168311841003,-0.282137065051446,0.07960132347584387,3.378862742656403e-6,0.07960470233858652,48.23290716815338,0.0002646753861973211
30,1024,0.1,x0y1,0.4156314550441065,0.34927338314978557,0.0030943521100998766,-0.06635807189432091,0.004403393705531863,9.575014981279559e-6,0.004412968720513143,4.0704515072531375,0.0015337283258571675
30,1024,0.1,x1y0,0.4156314550441065,0.40536587113494427,0.004867783467667406,-0.010265583909162213,0.00010538221299605013,2.369531588809612e-5,0.00012907752888414626,4.67512159791269,0.0022513073840669646
30,1024,0.1,x1y1,0.6579625772407729,0.4260266929034577,0.004405701862138865,-0.2319358843373152,0.05379425444333246,1.9410208898053866e-5,0.05381366465223052,3.1387989344341904,0.0024867570420213357
30,1024,0.1,EZ,18.756421010255902,11.989328426199208,0.01975163329408058,-6.7670925840566944,45.79354204119511,0.00039012701778383244,45.79393216821289,2.6890109654370575,0.012044997864577361
30,1024,0.1,EZ2,411.8655080634562,178.96881517938473,0.4563381028026236,-232.89669288407148,54240.869556337515,0.20824446406949784,54241.077800801584,2.6846816411519705,0.27850970677336084
