d=10   M=128    ε=0.05  ...  0.4 s
d=10   M=128    ε=0.10  ...  0.4 s
d=10   M=128    ε=1.00  ...  0.4 s
d=10   M=1024   ε=0.05  ...  3.9 s
d=10   M=1024   ε=0.10  ...  3.1 s
d=10   M=1024   ε=1.00  ...  3.2 s
d=10   M=8192   ε=0.05  ...  37.9 s
d=10   M=8192   ε=0.10  ...  30.0 s
d=10   M=8192   ε=1.00  ...  28.7 s
d=30   M=128    ε=0.05  ...  0.7 s
d=30   M=128    ε=0.10  ...  0.5 s
d=30   M=128    ε=1.00  ...  0.5 s
d=30   M=1024   ε=0.05  ...  6.2 s
d=30   M=1024   ε=0.10  ...  5.9 s
d=30   M=1024   ε=1.00  ...  5.9 s
d=30   M=8192   ε=0.05  ...  60.2 s
d=30   M=8192   ε=0.10  ...  59.4 s
d=30   M=8192   ε=1.00  ...  55.3 s
d=100  M=128    ε=0.05  ...  1.2 s
d=100  M=128    ε=0.10  ...  1.2 s
d=100  M=128    ε=1.00  ...  1.2 s
d=100  M=1024   ε=0.05  ...  13.2 s
d=100  M=1024   ε=0.10  ...  12.5 s
d=100  M=1024   ε=1.00  ...  12.4 s
d=100  M=8192   ε=0.05  ...  147.0 s
d=100  M=8192   ε=0.10  ...  172.9 s
d=100  M=8192   ε=1.00  ...  145.8 s

==============================================================================================================
GAUSSIAN SCHRÖDINGER BRIDGE EXPERIMENT RESULTS
Source: N(0,Iᵈ)   Target: N(e₁, AR1(ρ=0.9))   Burn-in: 1000   Meas: 1000   Thin: 10
==============================================================================================================
d    M      ε     fn              gt        mean       std       bias      bias²   variance      MSE       ESS
30   128    0.10  EZ3     +10593.80056  +2043.02497   8.11110  -8550.77559  73115763.127771  65.789963  73115828.917733      4.3
30   128    1.00  x0y0      +0.56731    +0.48968   0.02676   -0.07763   0.006026   0.000716   0.006742     34.1
30   128    1.00  x0y1      +0.38979    +0.31222   0.02284   -0.07757   0.006017   0.000522   0.006539     60.0
30   128    1.00  x1y0      +0.38979    +0.43795   0.03565   +0.04816   0.002319   0.001271   0.003590     50.9
30   128    1.00  x1y1      +0.50560    +0.29861   0.03984   -0.20698   0.042842   0.001588   0.044430     28.1
30   128    1.00  EZ       +14.19412   +10.37491   0.03395   -3.81922  14.586410   0.001153  14.587563     16.2
30   128    1.00  EZ2     +255.37605  +135.51838   0.78517  -119.85767  14365.861932   0.616493  14366.478425      9.7
30   128    1.00  EZ3     +5700.19985  +2117.10056  19.93979  -3583.09929  12838600.527316  397.595384  12838998.122701     10.3
30   1024   0.05  x0y0      +0.74742    +0.46531   0.00171   -0.28211   0.079586   0.000003   0.079589     13.3
30   1024   0.05  x0y1      +0.41587    +0.34318   0.00147   -0.07270   0.005285   0.000002   0.005287     19.8
30   1024   0.05  x1y0      +0.41587    +0.36052   0.00191   -0.05535   0.003064   0.000004   0.003068     11.1
30   1024   0.05  x1y1      +0.66982    +0.39818   0.00231   -0.27164   0.073788   0.000005   0.073793      8.4
30   1024   0.05  EZ       +19.11224   +11.92230   0.00825   -7.18994  51.695291   0.000068  51.695359      7.5
30   1024   0.05  EZ2     +425.79998  +176.88738   0.17324  -248.91260  61957.482143   0.030012  61957.512155      8.0
30   1024   0.05  EZ3     +11071.46209  +3183.63947   3.50901  -7887.82262  62217745.729159  12.313184  62217758.042342      9.2
30   1024   0.10  x0y0      +0.73540    +0.45326   0.00184   -0.28214   0.079601   0.000003   0.079605     48.2
30   1024   0.10  x0y1      +0.41563    +0.34927   0.00309   -0.06636   0.004403   0.000010   0.004413      4.1
30   1024   0.10  x1y0      +0.41563    +0.40537   0.00487   -0.01027   0.000105   0.000024   0.000129      4.7
30   1024   0.10  x1y1      +0.65796    +0.42603   0.00441   -0.23194   0.053794   0.000019   0.053814      3.1
30   1024   0.10  EZ       +18.75642   +11.98933   0.01975   -6.76709  45.793542   0.000390  45.793932      2.7
30   1024   0.10  EZ2     +411.86551  +178.96882   0.45634  -232.89669  54240.869556   0.208244  54241.077801      2.7
30   1024   0.10  EZ3     +10593.80056  +3239.31238  10.90649  -7354.48818  54088496.319199  118.951520  54088615.270718      2.8
30   1024   1.00  x0y0      +0.56731    +0.47156   0.01125   -0.09575   0.009168   0.000127   0.009295     15.0
30   1024   1.00  x0y1      +0.38979    +0.35889   0.00999   -0.03090   0.000955   0.000100   0.001055     32.2
30   1024   1.00  x1y0      +0.38979    +0.38055   0.01223   -0.00924   0.000085   0.000150   0.000235     32.5
